dt_referencia;no_produto;no_tipo;vr_real;vr_dolar
1997-07-17;algodao_8_dias;algodao;92.15;85.28
1997-07-18;cafe_arabica;cafe;192.82;178.32
1997-07-18;algodao_8_dias;algodao;91.94;85.03
1997-07-21;algodao_8_dias;algodao;91.68;84.79
1997-07-21;cafe_arabica;cafe;185.57;171.64
1997-07-22;cafe_arabica;cafe;190.95;176.59
1997-07-22;algodao_8_dias;algodao;91.41;84.54
1997-07-23;boi_gordo;boi;26.67;24.65
1997-07-23;algodao_8_dias;algodao;90.89;84.0
1997-07-23;cafe_arabica;cafe;199.91;184.76
1997-07-24;algodao_8_dias;algodao;90.6;83.74
1997-07-24;boi_gordo;boi;26.67;24.65
1997-07-24;cafe_arabica;cafe;198.11;183.11
1997-07-25;algodao_8_dias;algodao;90.33;83.48
1997-07-25;cafe_arabica;cafe;195.52;180.69
1997-07-25;boi_gordo;boi;26.71;24.68
1997-07-28;boi_gordo;boi;26.74;24.7
1997-07-28;algodao_8_dias;algodao;90.18;83.31
1997-07-28;cafe_arabica;cafe;202.17;186.78
1997-07-29;algodao_8_dias;algodao;89.74;82.85
1997-07-29;boi_gordo;boi;26.77;24.72
1997-07-29;soja_parana;soja;18.04;16.66
1997-07-29;cafe_arabica;cafe;202.26;186.74
1997-07-30;cafe_arabica;cafe;201.41;186.0
1997-07-30;boi_gordo;boi;26.75;24.71
1997-07-30;algodao_8_dias;algodao;89.87;82.99
1997-07-30;soja_parana;soja;17.97;16.59
1997-07-31;cafe_arabica;cafe;198.91;183.67
